job,backend,repetition,status,ttft_ms,mean_decode_ms,tpot_steady_ms,tpot_boundary_ms,output_tokens_per_s,peak_memory_bytes,new_captures,max_used_pages,free_pages_after,expected_free_pages
graph-16384-8,vllm,3,pass,11016.40187681187,134.470647203692,134.52253726115617,134.08320144129297,35.70001012712696,72596199424,0,29083,206461,206461
graph-16384-8,vllm,4,pass,11020.604015211575,134.53430573063662,134.58448566858092,134.15962886065245,35.69739151943305,72596199424,0,29083,206461,206461
graph-32768-1,vllm,0,pass,6598.834614269435,24.511444081706326,24.403664200300618,25.31620052953561,13.179839765236604,72317050880,0,7896,208425,208425
graph-32768-1,vllm,1,pass,6600.0203946605325,24.500379632190455,24.39228191672425,25.307509241004784,13.18014895365889,72317050880,0,7896,208425,208425
graph-32768-1,vllm,2,pass,6600.957778282464,24.53012971251499,24.415165817897236,25.388526792327564,13.173752731507705,72317050880,0,7896,208425,208425
graph-32768-1,vllm,3,pass,6599.119579419494,24.492547986662295,24.38461098686925,25.298477585117023,13.182721603109483,72317050880,0,7896,208425,208425
graph-32768-1,vllm,4,pass,6597.35619276762,24.509239824503425,24.40077394879024,25.31911836316188,13.182238644119778,72317050880,0,7896,208425,208425
graph-32768-4,vllm,0,pass,17105.857263319194,134.10739838805665,130.33972606353927,162.2393517444531,14.799216334642708,72699035648,0,27509,208151,208151
graph-32768-4,vllm,1,pass,17100.167526165023,134.19051817801642,130.41390529542696,162.38922770135105,14.79960005638108,72699035648,0,27509,208151,208151
graph-32768-4,vllm,2,pass,17090.1364563033,133.9387492474726,130.20996814676826,161.78031479939818,14.815916850224285,72699035648,0,27509,208151,208151
graph-32768-4,vllm,3,pass,17083.61839619465,133.52114395935118,129.73610811708826,161.78274491491416,14.845378008091261,72699035648,0,27509,208151,208151
graph-32768-4,vllm,4,pass,17095.040432643145,134.8574769107522,131.1102872922285,162.83649272906283,14.760587531744525,72699035648,0,27509,208151,208151
graph-32768-8,vllm,0,pass,31313.6441714596,271.94281397974044,267.34611980750094,306.26479713246226,15.184949021749386,73300816384,0,53651,206099,206099
graph-32768-8,vllm,1,pass,31304.82452677097,271.5525976235531,266.96203497080467,305.82879876407486,15.201160858118977,73300816384,0,53651,206099,206099
graph-32768-8,vllm,2,pass,31312.837140867487,271.98063077471096,267.38703059943094,306.2795120834683,15.182974172756062,73300816384,0,53651,206099,206099
graph-32768-8,vllm,3,pass,31312.497792416252,271.8629833415341,267.27882316897325,306.0913792966555,15.186857057615262,73300816384,0,53651,206099,206099
graph-32768-8,vllm,4,pass,31313.09854600113,271.9570433841945,267.3672565651941,306.22745163273066,15.183099167555536,73300816384,0,53651,206099,206099
graph-4096-1,vllm,0,pass,374.25314635038376,15.064781832354745,14.957242952992342,15.867738798260689,55.95663869462135,72278473728,0,2052,208508,208508
graph-4096-1,vllm,1,pass,374.26219787448645,15.037483330376036,14.92710127162614,15.86166936904192,56.04138370956846,72278473728,0,2052,208508,208508
graph-4096-1,vllm,2,pass,374.9536545947194,15.05487132084182,14.944530865510128,15.878746720651785,55.9703184632543,72278473728,0,2052,208508,208508
